#NAME,#ABS MAG,#DIST[ly],#DIST [pc],#LUM,#TEMP [k],#MASS,#DIAM,#RADIUS/m,#RA/h,#RA/m,#RA[deg],#DEC [deg]
Sirius,1.45,8.6,2.6367686,25,13999.15628,2,1.7,591345000,6,45,101.25,-16.7
Canopus,-5.53,310,95.04631,13600,10933.75578,8.5,65,22610250000,6,24,96,-52.7
Rigil Kent.,4.34,4.4,1.3490444,1.5,8246.57308,1.1,1.2,417420000,14,40,220,-60.8
Arcturus,-0.31,36.7,11.2522567,170,5780.51958,1.1,26,9044100000,14,16,214,19.2
Vega,0.58,25.3,7.7570053,37,13274.79531,2.1,2.3,800055000,18,37,279.25,38.8
Capella,-0.48,42.2,12.9385622,79,7025.180223,2.7,12,4174200000,5,17,79.25,46
Rigel,-6.69,770,236.08277,66000,14814.26137,17,78,27132300000,5,15,78.75,-8.2
Procyon,2.68,11.4,3.4952514,7.7,9614.993693,1.5,2,695700000,7,39,114.75,5.2
Betelgeuse,-5.14,430,131.83843,105000,4802.868772,18,936,3.25588E+11,5,55,88.75,7.4
Achernar,-2.77,144,44.150544,3300,19564.54739,8-Jun,10,3478500000,1,38,24.5,-57.2
Hadar,-5.42,525,160.965525,16000,32458.34129,10.7,8,2782800000,14,4,211,-60.4
Altair,2.2,16.8,5.1508968,10.6,10978.21,1.8,1.8,626130000,19,51,297.75,8.9
Aldebaran,-0.63,65.1,19.9597251,425,5574.775954,1.7,44.2,15374970000,4,36,69,16.5
Spica,-3.55,260,79.71626,13400,31446.34817,11,7.8,2713230000,13,25,201.25,-11.2
Antares,-5.28,605,185.493605,65000,4608.1294,15.5,800,2.7828E+11,16,29,247.25,-26.4
Pollux,1.09,33.7,10.3324537,32,6864.103468,1.9,8,2782800000,7,45,116.25,28
Fomalhaut,1.74,25.1,7.6956851,17.7,12479.53445,2.1,1.8,626130000,22,58,344.5,-29.6
Deneb,-8.73,3200,981.1232,54000,11864.33546,20,110,38263500000,20,41,310.25,45.3
Mimosa,-3.92,350,107.31035,34000,39189.16914,14,8,2782800000,12,48,192,-59.7
